mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
mcpdotdirect/evm-mcp-server,TypeScript,community,19,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,mcpdotdirect.evm-mcp-server:src/core/chains.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
StevenStavrakis/obsidian-mcp,TypeScript,community,117,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,StevenStavrakis.obsidian-mcp:src/tools/rename-tag/index.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
StevenStavrakis/obsidian-mcp,TypeScript,community,117,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,StevenStavrakis.obsidian-mcp:src/utils/tags.ts,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
StevenStavrakis/obsidian-mcp,TypeScript,community,117,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,StevenStavrakis.obsidian-mcp:src/utils/tags.ts,Provide a compare function to avoid sorting elements alphabetically.,"type-dependent, bad-practice",RELIABILITY
FlowiseAI/Flowise,TypeScript,mined,36400,javascript:S930,Function calls should not pass extra arguments,BUG,CRITICAL,FlowiseAI.Flowise:packages/ui/src/views/assistants/custom/CustomAssistantConfigurePreview.jsx,"This function expects no arguments, but 1 was provided.",cwe,RELIABILITY
FlowiseAI/Flowise,TypeScript,mined,36400,javascript:S930,Function calls should not pass extra arguments,BUG,CRITICAL,FlowiseAI.Flowise:packages/ui/src/views/chatmessage/ChatMessage.jsx,"This function expects no arguments, but 1 was provided.",cwe,RELIABILITY
FlowiseAI/Flowise,TypeScript,mined,36400,javascript:S930,Function calls should not pass extra arguments,BUG,CRITICAL,FlowiseAI.Flowise:packages/ui/src/views/docstore/ExpandedChunkDialog.jsx,"This function expects no arguments, but 1 was provided.",cwe,RELIABILITY
FlowiseAI/Flowise,TypeScript,mined,36400,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,FlowiseAI.Flowise:packages/components/src/indexing.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
FlowiseAI/Flowise,TypeScript,mined,36400,javascript:S930,Function calls should not pass extra arguments,BUG,CRITICAL,FlowiseAI.Flowise:packages/ui/src/views/canvas/CredentialInputHandler.jsx,"This function expects no arguments, but 1 was provided.",cwe,RELIABILITY
FlowiseAI/Flowise,TypeScript,mined,36400,typescript:S2871,"""Array.prototype.sort()"" and ""Array.prototype.toSorted()"" should use a compare function",BUG,CRITICAL,FlowiseAI.Flowise:packages/server/src/utils/index.ts,"Provide a compare function that depends on ""String.localeCompare"", to reliably sort elements alphabetically.","type-dependent, bad-practice",RELIABILITY
