mcp_servername,language,integration_type,star_count,violated_rule,violated_rule_name,issue_type,issue_severity,component,fix_guideline,issue_tags,quality_impact
sooperset/mcp-atlassian,Python,community,280,python:S5527,Server hostnames should be verified during SSL/TLS connections,VULNERABILITY,CRITICAL,sooperset.mcp-atlassian:src/mcp_atlassian/utils/ssl.py,Enable server hostname verification on this SSL/TLS connection.,"cwe, privacy, ssl",SECURITY
sooperset/mcp-atlassian,Python,community,280,python:S4830,Server certificates should be verified during SSL/TLS connections,VULNERABILITY,CRITICAL,sooperset.mcp-atlassian:src/mcp_atlassian/utils/ssl.py,Enable server certificate validation on this SSL/TLS connection.,"cwe, privacy, ssl",SECURITY
designcomputer/mysql_mcp_server,Python,community,137,secrets:S6697,MySQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,designcomputer.mysql_mcp_server:Dockerfile,Make sure this MySQL database password gets changed and removed from the code.,cwe,SECURITY
modelcontextprotocol/python-sdk,Python,mined,4798,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,modelcontextprotocol.python-sdk:examples/fastmcp/memory.py,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
modelcontextprotocol/python-sdk,Python,mined,4798,secrets:S6698,PostgreSQL database passwords should not be disclosed,VULNERABILITY,BLOCKER,modelcontextprotocol.python-sdk:examples/fastmcp/memory.py,Make sure this PostgreSQL database password gets changed and removed from the code.,cwe,SECURITY
tuanle96/mcp-odoo,Python,mined,14,python:S5527,Server hostnames should be verified during SSL/TLS connections,VULNERABILITY,CRITICAL,tuanle96.mcp-odoo:src/odoo_mcp/odoo_client.py,Enable server hostname verification on this SSL/TLS connection.,"cwe, privacy, ssl",SECURITY
jroakes/CrawlnChat,Python,mined,22,python:S4830,Server certificates should be verified during SSL/TLS connections,VULNERABILITY,CRITICAL,jroakes.CrawlnChat:src/crawler/sitemap.py,Enable server certificate validation on this SSL/TLS connection.,"cwe, privacy, ssl",SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:helm/core/charts/redis/templates/statefulset.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:helm/core/charts/redis/templates/statefulset.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/tests/go-wasm-replay-protection.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/tests/go-wasm-replay-protection.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/llm-mock.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/llm-mock.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/deployment.yaml,Specify a storage limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/deployment.yaml,"Bind this Service Account to RBAC or disable ""automountServiceAccountToken"".",,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6867,Wildcards should not be used to define RBAC permissions,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-clusterrole.yaml,Replace this wildcard with a clear list of allowed resources.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6870,Storage limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:helm/core/templates/controller-deployment.yaml,Specify a storage limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6864,Memory limits should be enforced,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/manifests.yaml,Specify a memory limit for this container.,,SECURITY
alibaba/higress,Go,community,4896,kubernetes:S6865,Service account permissions should be restricted,VULNERABILITY,MAJOR,alibaba.higress:test/e2e/conformance/base/opa.yaml,Bind this resource's automounted service account to RBAC or disable automounting.,,SECURITY
